term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	True	True	overlap	1,3,4,1	0.2049	0.0905	0.0446	0.0104	0.1133	0.0010	0.4381	0.1472
tf	True	True	overlap	1,1,1,4	0.1608	0.0728	0.0379	0.0102	0.0905	0.0010	0.5198	0.1744
tfidf	False	False	cosine	1,1,1,1	0.4207	0.2591	0.1543	0.0961	0.2780	0.0096	0.5119	0.1859
tfidf	False	False	cosine	1,3,4,1	0.4493	0.2505	0.1106	0.0556	0.2702	0.0056	0.5238	0.1925
tfidf	False	False	cosine	1,1,1,4	0.3984	0.2258	0.1308	0.0880	0.2517	0.0088	0.5068	0.1835
tfidf	False	False	jaccard	1,1,1,1	0.3517	0.2236	0.1276	0.0563	0.2343	0.0056	0.5405	0.2105
tfidf	False	False	jaccard	1,3,4,1	0.4131	0.2345	0.1019	0.0447	0.2498	0.0045	0.5479	0.2144
tfidf	False	False	jaccard	1,1,1,4	0.3325	0.1968	0.1017	0.0569	0.2103	0.0057	0.5370	0.2095
tfidf	False	False	dice	1,1,1,1	0.3517	0.2236	0.1276	0.0563	0.2343	0.0056	0.5405	0.2105
tfidf	False	False	dice	1,3,4,1	0.4131	0.2345	0.1019	0.0447	0.2498	0.0045	0.5479	0.2144
tfidf	False	False	dice	1,1,1,4	0.3325	0.1968	0.1017	0.0569	0.2103	0.0057	0.5370	0.2095
tfidf	False	False	overlap	1,1,1,1	0.2977	0.1769	0.0956	0.0249	0.1901	0.0025	0.4686	0.1551
tfidf	False	False	overlap	1,3,4,1	0.3103	0.2013	0.1136	0.0346	0.2084	0.0035	0.4560	0.1509
tfidf	False	False	overlap	1,1,1,4	0.2765	0.1609	0.0836	0.0146	0.1737	0.0015	0.4666	0.1543
tfidf	False	True	cosine	1,1,1,1	0.4353	0.2718	0.1638	0.0898	0.2903	0.0090	0.5812	0.2307
tfidf	False	True	cosine	1,3,4,1	0.4585	0.2713	0.1320	0.0721	0.2872	0.0072	0.5727	0.2293
tfidf	False	True	cosine	1,1,1,4	0.4054	0.2213	0.1181	0.0727	0.2483	0.0073	0.5820	0.2314
tfidf	False	True	jaccard	1,1,1,1	0.3846	0.2410	0.1323	0.0799	0.2526	0.0080	0.6009	0.2409
tfidf	False	True	jaccard	1,3,4,1	0.4121	0.2546	0.1233	0.0628	0.2633	0.0063	0.5840	0.2354
tfidf	False	True	jaccard	1,1,1,4	0.3519	0.1979	0.1168	0.0642	0.2222	0.0064	0.6040	0.2424
tfidf	False	True	dice	1,1,1,1	0.3846	0.2410	0.1323	0.0799	0.2526	0.0080	0.6009	0.2409
tfidf	False	True	dice	1,3,4,1	0.4121	0.2546	0.1233	0.0628	0.2633	0.0063	0.5840	0.2354
tfidf	False	True	dice	1,1,1,4	0.3519	0.1979	0.1168	0.0642	0.2222	0.0064	0.6040	0.2424
tfidf	False	True	overlap	1,1,1,1	0.3301	0.2245	0.1402	0.0659	0.2316	0.0066	0.5533	0.2144
tfidf	False	True	overlap	1,3,4,1	0.3258	0.2352	0.1592	0.0841	0.2401	0.0084	0.5421	0.2112
tfidf	False	True	overlap	1,1,1,4	0.2996	0.1839	0.1109	0.0410	0.1981	0.0041	0.5587	0.2161
tfidf	True	False	cosine	1,1,1,1	0.4368	0.2726	0.1597	0.0834	0.2897	0.0083	0.4790	0.1700
tfidf	True	False	cosine	1,3,4,1	0.4481	0.2667	0.1437	0.0481	0.2862	0.0048	0.4932	0.1788
tfidf	True	False	cosine	1,1,1,4	0.3765	0.2167	0.1456	0.0797	0.2462	0.0080	0.4731	0.1669
tfidf	True	False	jaccard	1,1,1,1	0.3666	0.2273	0.1436	0.0651	0.2458	0.0065	0.5082	0.1940
tfidf	True	False	jaccard	1,3,4,1	0.4175	0.2464	0.1419	0.0460	0.2686	0.0046	0.5158	0.1987
tfidf	True	False	jaccard	1,1,1,4	0.3489	0.1979	0.1271	0.0594	0.2246	0.0059	0.5042	0.1922
tfidf	True	False	dice	1,1,1,1	0.3666	0.2273	0.1436	0.0651	0.2458	0.0065	0.5082	0.1940
tfidf	True	False	dice	1,3,4,1	0.4175	0.2464	0.1419	0.0460	0.2686	0.0046	0.5158	0.1987
tfidf	True	False	dice	1,1,1,4	0.3489	0.1979	0.1271	0.0594	0.2246	0.0059	0.5042	0.1922
tfidf	True	False	overlap	1,1,1,1	0.2687	0.1770	0.1067	0.0342	0.1841	0.0034	0.4168	0.1316
tfidf	True	False	overlap	1,3,4,1	0.3200	0.2078	0.1204	0.0382	0.2161	0.0038	0.4029	0.1274
tfidf	True	False	overlap	1,1,1,4	0.2405	0.1480	0.0882	0.0252	0.1589	0.0025	0.4175	0.1314
tfidf	True	True	cosine	1,1,1,1	0.4609	0.2987	0.1711	0.0800	0.3102	0.0080	0.5041	0.1809
tfidf	True	True	cosine	1,3,4,1	0.4768	0.2822	0.1567	0.0615	0.3052	0.0062	0.5009	0.1834
tfidf	True	True	cosine	1,1,1,4	0.3968	0.2178	0.1388	0.0695	0.2511	0.0070	0.5043	0.1805
tfidf	True	True	jaccard	1,1,1,1	0.3708	0.2421	0.1511	0.0704	0.2546	0.0070	0.5208	0.1915
tfidf	True	True	jaccard	1,3,4,1	0.4008	0.2565	0.1492	0.0513	0.2689	0.0051	0.5102	0.1905
tfidf	True	True	jaccard	1,1,1,4	0.3482	0.2033	0.1332	0.0617	0.2282	0.0062	0.5224	0.1922
tfidf	True	True	dice	1,1,1,1	0.3708	0.2421	0.1511	0.0704	0.2546	0.0070	0.5208	0.1915
tfidf	True	True	dice	1,3,4,1	0.4008	0.2565	0.1492	0.0513	0.2689	0.0051	0.5102	0.1905
tfidf	True	True	dice	1,1,1,4	0.3482	0.2033	0.1332	0.0617	0.2282	0.0062	0.5224	0.1922
tfidf	True	True	overlap	1,1,1,1	0.3077	0.2232	0.1501	0.0715	0.2270	0.0072	0.4665	0.1594
tfidf	True	True	overlap	1,3,4,1	0.3383	0.2418	0.1654	0.0851	0.2485	0.0085	0.4573	0.1573
tfidf	True	True	overlap	1,1,1,4	0.2663	0.1704	0.1139	0.0470	0.1835	0.0047	0.4688	0.1598
